date,alp,lib,nat,green,oth,alp_tpp,l_np_tpp,institute,mode,sample_size,l_np,onp
2013-05-05,33,NA,NA,9,10,44,56,Essential,NA,NA,48,NA
2013-05-02,29.3,NA,NA,10.2,11.9,42,58,ReachTEL,NA,NA,48.5,NA
2013-04-28,30.5,NA,NA,11,10.5,43.5,56.5,Morgan ,NA,NA,48,NA
2013-04-28,34,NA,NA,9,9,45,55,Essential,NA,NA,48,NA
2013-04-22,32.5,NA,NA,10.5,13,46,54,Morgan ,NA,NA,44,NA
2013-04-22,34,NA,NA,9,9,45,55,Essential,NA,NA,48,NA
2013-04-21,32,NA,NA,10,12,45,55,Newspoll,NA,NA,46,NA
2013-04-14,32,NA,NA,10.5,10,44,56,Morgan ,NA,NA,47.5,NA
2013-04-14,34,NA,NA,9,9,45,55,Essential,NA,NA,48,NA
2013-04-13,29,NA,NA,12,11,43,57,Nielsen,NA,NA,49,NA
2013-04-11,33,NA,NA,12,8,46,54,Galaxy,NA,NA,47,NA
2013-05-02,31.3,NA,NA,10.2,8.8,43,57,ReachTEL,NA,NA,49.8,NA
2013-04-07,32,NA,NA,11,9,45,55,Newspoll,NA,NA,48,NA
2013-04-07,31,NA,NA,10,12.5,44,56,Morgan ,NA,NA,46.5,NA
2013-04-07,32,NA,NA,9,9,44,56,Essential,NA,NA,49,NA
2013-04-01,30,NA,NA,11,10,42.5,57.5,Morgan ,NA,NA,49,NA
2013-04-01,31,NA,NA,11,9,44,56,Essential,NA,NA,49,NA
2013-03-24,30,NA,NA,10,10,42,58,Newspoll,NA,NA,50,NA
2013-03-24,33,NA,NA,11,9,46,54,Essential,NA,NA,47,NA
2013-03-23,32,NA,NA,12,9,45,55,Galaxy,NA,NA,47,NA
2013-03-24,30.5,NA,NA,10.5,12.5,44,56,Morgan ,NA,NA,46.5,NA
2013-03-25,33,NA,NA,9,9,44,56,AMR,NA,NA,49,NA
2013-03-17,35,NA,NA,9,8,46,54,Essential,NA,NA,47,NA
2013-03-17,33,NA,NA,11,10.5,46,54,Morgan ,NA,NA,46,NA
2013-03-16,31,NA,NA,10,12,44,56,Nielsen,NA,NA,47,NA
2013-03-10,34,NA,NA,9,9,45,55,Essential,NA,NA,48,NA
2013-03-10,31.5,NA,NA,11,10.5,44.5,55.5,Morgan ,NA,NA,47,NA
2013-03-10,34,NA,NA,11,11,48,52,Newspoll,NA,NA,44,NA
2013-03-07,32,NA,NA,11,9,45,55,Galaxy,NA,NA,48,NA
2013-03-03,32,NA,NA,10,8,44,56,Essential,NA,NA,49,NA
2013-03-03,33,NA,NA,10.5,11.5,46,54,Morgan ,NA,NA,45,NA
2013-02-24,32,NA,NA,10,8,44,56,Essential,NA,NA,49,NA
2013-02-24,33.5,NA,NA,10,12.5,46.5,53.5,Morgan ,NA,NA,44,NA
2013-02-24,31,NA,NA,11,11,45,55,Newspoll,NA,NA,47,NA
2013-02-17,35,NA,NA,10,8,46,54,Essential,NA,NA,47,NA
2013-02-16,30,NA,NA,11,12,44,56,Nielsen,NA,NA,47,NA
2013-02-10,34,NA,NA,9,9,45,55,Essential,NA,NA,48,NA
2013-02-10,33.5,NA,NA,9,12.5,45.5,54.5,Morgan ,NA,NA,45,NA
2013-02-04,34,NA,NA,10,8,46,54,Essential,NA,NA,48,NA
2013-02-03,38.5,NA,NA,8.5,10.5,48.5,51.5,Morgan ,NA,NA,42.5,NA
2013-02-03,32,NA,NA,9,11,44,56,Newspoll,NA,NA,48,NA
2013-02-03,35,NA,NA,10,7,46,54,Galaxy,NA,NA,48,NA
2013-01-28,35,NA,NA,10,7,46,54,Essential,NA,NA,48,NA
2013-01-27,36,NA,NA,12,13,49.5,50.5,Morgan ,NA,NA,39,NA
2013-01-20,36,NA,NA,9,8,46,54,Essential,NA,NA,48,NA
2013-01-13,36,NA,NA,8,8,46,54,Essential,NA,NA,48,NA
2013-01-13,38,NA,NA,9,9,49,51,Newspoll,NA,NA,44,NA
2013-01-13,36.5,NA,NA,10.5,11.5,49,51,Morgan ,NA,NA,41.5,NA
2012-12-16,36,NA,NA,8,8,45,55,Essential,NA,NA,48,NA
2012-12-16,40,NA,NA,12,10.5,53.5,46.5,Morgan ,NA,NA,37.5,NA
2012-12-15,35,NA,NA,10,12,48,52,Nielsen,NA,NA,43,NA
2012-12-09,36,NA,NA,8,8,46,54,Essential,NA,NA,48,NA
2012-12-09,32,NA,NA,11,11,46,54,Newspoll,NA,NA,46,NA
2012-12-02,37,NA,NA,9,7,47,53,Essential,NA,NA,47,NA
2012-12-02,36,NA,NA,10.5,13,49.5,50.5,Morgan ,NA,NA,40.5,NA
2012-11-30,34,NA,NA,11,7,46,54,Galaxy,NA,NA,48,NA
2012-11-29,36.5,NA,NA,8.5,10.5,47.5,52.5,Morgan ,NA,NA,44.5,NA
2012-11-25,36,NA,NA,11,10,49,51,Newspoll,NA,NA,43,NA
2012-11-25,36,NA,NA,10,8,47,53,Essential,NA,NA,47,NA
2012-11-18,36,NA,NA,10,9,47,53,Essential,NA,NA,46,NA
2012-11-18,36.5,NA,NA,11.5,13.5,49,51,Morgan ,NA,NA,38.5,NA
2012-11-17,34,NA,NA,12,10,47,53,Nielsen,NA,NA,45,NA
2012-11-11,36,NA,NA,10,11,49,51,Newspoll,NA,NA,43,NA
2012-11-11,37,NA,NA,9,8,48,52,Essential,NA,NA,45,NA
2012-11-06,37,NA,NA,9,8,47,53,Essential,NA,NA,46,NA
2012-11-04,35,NA,NA,11,7,47,53,Galaxy,NA,NA,47,NA
2012-11-04,35.5,NA,NA,10,11.5,48,52,Morgan ,NA,NA,43,NA
2012-10-28,36,NA,NA,10,13,50,50,Newspoll,NA,NA,41,NA
2012-10-28,36,NA,NA,9,7,46,54,Essential,NA,NA,48,NA
2012-10-21,37.5,NA,NA,12.5,11.5,42.5,57.5,Morgan ,NA,NA,38.5,NA
2012-10-21,36,NA,NA,9,7,47,53,Essential,NA,NA,47,NA
2012-10-20,34,NA,NA,11,12,48,52,Nielsen,NA,NA,43,NA
2012-10-14,36,NA,NA,9,8,47,53,Essential,NA,NA,47,NA
2012-10-07,33,NA,NA,10,12,46,54,Newspoll,NA,NA,45,NA
2012-10-07,37,NA,NA,9,7,47,53,Essential,NA,NA,47,NA
2012-10-07,37,NA,NA,10.5,9.5,49,51,Morgan ,NA,NA,43,NA
2012-09-30,36,NA,NA,9,7,47,53,Essential,NA,NA,47,NA
2012-09-23,37.5,NA,NA,10,11,50,50,Morgan ,NA,NA,41.5,NA
2012-09-23,35,NA,NA,9,9,45,55,Essential,NA,NA,48,NA
2012-09-20,39.5,NA,NA,8,5.5,47.5,52.5,Morgan ,NA,NA,47,NA
2012-09-16,36,NA,NA,12,11,50,50,Newspoll,NA,NA,41,NA
2012-09-16,34,NA,NA,9,9,45,55,Essential,NA,NA,48,NA
2012-09-16,35,NA,NA,12,12.5,49.5,50.5,Morgan ,NA,NA,40.5,NA
2012-09-15,34,NA,NA,10,11,47,53,Nielsen,NA,NA,45,NA
2012-09-02,34,NA,NA,9,9,45,55,Essential,NA,NA,48,NA
2012-09-02,33,NA,NA,8,13,45,55,Newspoll,NA,NA,46,NA
2012-09-02,34.5,NA,NA,11.5,12.5,48.5,51.5,Morgan ,NA,NA,41.5,NA
2012-08-26,32,NA,NA,10,9,44,56,Essential,NA,NA,49,NA
2012-08-25,32,NA,NA,11,13,46,54,Nielsen,NA,NA,45,NA
2012-08-19,32,NA,NA,10,9,43,57,Essential,NA,NA,49,NA
2012-08-19,35,NA,NA,11,9,47,53,Newspoll,NA,NA,45,NA
2012-08-19,34.5,NA,NA,10,11.5,47,53,Morgan ,NA,NA,44,NA
2012-08-12,32,NA,NA,10,8,44,56,Essential,NA,NA,49,NA
2012-08-05,33,NA,NA,10,12,46,54,Newspoll,NA,NA,45,NA
2012-08-05,33,NA,NA,10,8,44,56,Essential,NA,NA,49,NA
2012-08-05,32,NA,NA,11.5,13,46.5,53.5,Morgan ,NA,NA,43.5,NA
2012-07-29,33,NA,NA,10,8,45,55,Essential,NA,NA,49,NA
2012-07-28,30,NA,NA,12,11,44,56,Nielsen,NA,NA,47,NA
2012-07-22,28,NA,NA,11,15,44,56,Newspoll,NA,NA,46,NA
2012-07-22,33,NA,NA,10,9,44,56,Essential,NA,NA,49,NA
2012-07-22,31.5,NA,NA,12,13.5,46,54,Morgan ,NA,NA,43,NA
2012-07-15,31,NA,NA,10,9,43,57,Essential,NA,NA,49,NA
2012-07-08,31,NA,NA,11,10,44,56,Newspoll,NA,NA,48,NA
2012-07-08,31,NA,NA,11,9,44,56,Essential,NA,NA,49,NA
2012-07-08,29.5,NA,NA,14.5,13,46,54,Morgan ,NA,NA,43,NA
2012-07-01,32,NA,NA,10,9,44,56,Essential,NA,NA,49,NA
2012-06-24,30,NA,NA,12,12,45,55,Newspoll,NA,NA,46,NA
2012-06-24,33,NA,NA,10,8,44,56,Essential,NA,NA,49,NA
2012-06-24,29.5,NA,NA,14.5,13,46,54,Morgan ,NA,NA,43,NA
2012-06-17,33,NA,NA,10,8,44,56,Essential,NA,NA,49,NA
2012-06-17,31,NA,NA,12,8,44,56,Galaxy,NA,NA,49,NA
2012-06-11,32,NA,NA,10,9,44,56,Essential,NA,NA,49,NA
2012-06-10,33,NA,NA,12.5,12,48,52,Morgan ,NA,NA,42.5,NA
2012-06-10,31,NA,NA,14,11,46,54,Newspoll,NA,NA,44,NA
2012-06-03,32.5,NA,NA,10.5,12,44.5,55.5,Morgan ,NA,NA,45,NA
2012-06-02,26,NA,NA,14,12,43,57,Nielsen,NA,NA,48,NA
2012-06-03,33,NA,NA,10,7,44,56,Essential,NA,NA,50,NA
2012-05-27,27.5,NA,NA,13,10.5,42,58,Morgan ,NA,NA,49,NA
2012-05-27,33,NA,NA,10,7,43,57,Essential,NA,NA,50,NA
2012-05-27,32,NA,NA,12,10,46,54,Newspoll,NA,NA,46,NA
2012-05-20,33,NA,NA,10,8,44,56,Essential,NA,NA,49,NA
2012-05-20,32,NA,NA,10.5,12,45,55,Morgan ,NA,NA,45.5,NA
2012-05-13,30.5,NA,NA,12,11.5,44.5,55.5,Morgan ,NA,NA,46,NA
2012-05-13,30,NA,NA,12,13,45,55,Newspoll,NA,NA,45,NA
2012-05-13,30,NA,NA,11,9,43,57,Essential,NA,NA,50,NA
2012-05-10,28,NA,NA,12,12,42,58,Nielsen,NA,NA,49,NA
2012-05-10,29,NA,NA,10,10.5,42,58,Morgan ,NA,NA,50.5,NA
2012-05-06,29.5,NA,NA,12,13,44.5,55.5,Morgan ,NA,NA,45.5,NA
2012-05-06,29,NA,NA,11,9,42,58,Essential,NA,NA,50,NA
2012-04-29,27,NA,NA,11,11,41,59,Newspoll,NA,NA,51,NA
2012-04-29,30,NA,NA,13,8,44,56,Galaxy,NA,NA,49,NA
2012-04-29,31,NA,NA,11,9,43,57,Essential,NA,NA,50,NA
2012-04-22,30,NA,NA,12,10.5,44,56,Morgan ,NA,NA,47.5,NA
2012-04-22,31,NA,NA,11,9,44,56,Essential,NA,NA,49,NA
2012-04-19,30,NA,NA,11.5,11.5,44,56,Morgan ,NA,NA,47.5,NA
2012-04-15,29,NA,NA,12,11,44,56,Newspoll,NA,NA,48,NA
2012-04-15,31,NA,NA,11,9,44,56,Essential,NA,NA,48,NA
2012-04-15,31,NA,NA,12.5,10,45,55,Morgan ,NA,NA,46.5,NA
2012-04-09,31,NA,NA,11,9,43,57,Essential,NA,NA,50,NA
2012-04-01,32,NA,NA,13,10.5,46.5,53.5,Morgan ,NA,NA,45.5,NA
2012-04-01,33,NA,NA,11,8,45,55,Essential,NA,NA,48,NA
2012-03-31,27,NA,NA,13,12,43,57,Nielsen,NA,NA,47,NA
2012-03-25,34,NA,NA,10,9,46,54,Essential,NA,NA,47,NA
2012-03-25,36.5,NA,NA,12.5,6,48.5,51.5,Morgan ,NA,NA,45,NA
2012-03-25,28,NA,NA,11,14,43,57,Newspoll,NA,NA,47,NA
2012-03-18,32,NA,NA,11,9,46,54,Essential,NA,NA,48,NA
2012-03-18,37,NA,NA,10.5,7,48,52,Morgan ,NA,NA,45.5,NA
2012-03-11,31,NA,NA,12,14,47,53,Newspoll,NA,NA,43,NA
2012-03-11,31,NA,NA,10,9,43,57,Essential,NA,NA,49,NA
2012-03-04,39,NA,NA,10,7.5,50,50,Morgan ,NA,NA,43.5,NA
2012-03-04,32,NA,NA,10,9,44,56,Essential,NA,NA,49,NA
2012-02-26,37.5,NA,NA,11,9,50,50,Morgan ,NA,NA,42.5,NA
2012-02-26,35,NA,NA,11,9,47,53,Newspoll,NA,NA,45,NA
2012-02-26,32,NA,NA,11,8,44,56,Essential,NA,NA,49,NA
2012-02-24,34,NA,NA,12,7,46,54,Galaxy,NA,NA,47,NA
2012-02-23,34,NA,NA,12,11,47,53,Nielsen,NA,NA,44,NA
2012-02-19,33,NA,NA,11,9,45,55,Essential,NA,NA,48,NA
2012-02-19,37,NA,NA,14.5,7,51.5,48.5,Morgan ,NA,NA,41.5,NA
2012-02-12,32,NA,NA,11,11,45,55,Newspoll,NA,NA,46,NA
2012-02-10,34,NA,NA,10,9,46,54,Essential,NA,NA,47,NA
2012-02-08,37,NA,NA,14.5,7,44.5,55.5,Morgan ,NA,NA,41.5,NA
2012-02-05,38.5,NA,NA,9.5,6.5,48.5,51.5,Morgan ,NA,NA,45.5,NA
2012-02-05,33,NA,NA,11,9,46,54,Essential,NA,NA,47,NA
2012-02-04,33,NA,NA,13,9,47,53,Nielsen,NA,NA,45,NA
2012-01-29,39.5,NA,NA,9.5,6.5,51,49,Morgan ,NA,NA,41.5,NA
2012-01-29,30,NA,NA,12,13,46,54,Newspoll,NA,NA,45,NA
2012-01-29,34,NA,NA,10,8,46,54,Essential,NA,NA,47,NA
2012-01-28,34,NA,NA,12,6,46,54,Galaxy,NA,NA,48,NA
2012-01-22,35,NA,NA,10,7,46,54,Essential,NA,NA,48,NA
2012-01-22,38.5,NA,NA,12,7,51,49,Morgan ,NA,NA,42.5,NA
2012-01-18,35.5,NA,NA,9,9,46.5,53.5,Morgan ,NA,NA,46.5,NA
2012-01-15,35,NA,NA,9,8,46,54,Essential,NA,NA,48,NA
2012-01-08,37,NA,NA,10.5,7.5,48.5,51.5,Morgan ,NA,NA,45,NA
2011-12-18,35,NA,NA,9,8,46,54,Essential,NA,NA,47,NA
2011-12-18,36.5,NA,NA,13,7.5,50,50,Morgan ,NA,NA,43,NA
2011-12-11,34,NA,NA,10,9,45,55,Essential,NA,NA,48,NA
2011-12-10,29,NA,NA,11,11,43,57,Nielsen,NA,NA,49,NA
2011-12-04,31,NA,NA,13,12,46,54,Newspoll,NA,NA,44,NA
2011-12-04,34,NA,NA,10,9,46,54,Essential,NA,NA,47,NA
2011-12-04,36.5,NA,NA,13,7.5,47,53,Morgan ,NA,NA,43,NA
2011-11-27,34,NA,NA,11,8,46,54,Essential,NA,NA,47,NA
2011-11-20,36.5,NA,NA,12,6,48.5,51.5,Morgan ,NA,NA,45.5,NA
2011-11-20,30,NA,NA,10,12,43,57,Newspoll,NA,NA,48,NA
2011-11-20,34,NA,NA,10,7,45,55,Essential,NA,NA,48,NA
2011-11-13,35,NA,NA,10,8,46,54,Essential,NA,NA,47,NA
2011-11-13,34.5,NA,NA,11.5,7,46.5,53.5,Morgan ,NA,NA,47,NA
2011-11-12,30,NA,NA,14,12,45,55,Nielsen,NA,NA,45,NA
2011-11-06,32,NA,NA,12,12,47,53,Newspoll,NA,NA,44,NA
2011-11-06,35,NA,NA,9,9,46,54,Essential,NA,NA,46,NA
2011-11-03,34,NA,NA,12.5,8.5,47.5,52.5,Morgan ,NA,NA,45,NA
2011-10-30,34,NA,NA,10,9,45,55,Essential,NA,NA,47,NA
