institute,date,nd,pasok,kke,syriza,laos,other,none,unsure,sample_size,ecologist_greens,golden_dawn,dimar,democratic_alliance,parmap,anel,dixa,drassi,potami,kinima,kidiso,union_of_centrists,popular_unity,disi,ant,pe,el,kinal,mera25
Interview,2015-01-06,30.5,4.4,5.6,32.9,NA,NA,NA,NA,NA,NA,6.9,0.2,NA,NA,2.1,NA,NA,7.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2015-01-06,34.1,4.3,4.5,37.7,NA,NA,NA,NA,1000,NA,4.9,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2015-01-03,NA,NA,5.5,35.5,NA,NA,NA,NA,1006,NA,6.5,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E-Voice,2015-01-02,30.1,4.3,5.5,34.1,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,3.3,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-31,30.5,NA,6.1,33.3,NA,NA,NA,NA,NA,NA,6.1,0.9,NA,NA,2.4,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2014-12-30,33.2,4.3,5.8,NA,NA,NA,NA,NA,1002,NA,4.6,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2014-12-30,29.5,4.5,NA,34.5,NA,NA,NA,NA,1011,NA,NA,0.5,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2014-12-28,28.9,5.3,6.2,32.3,NA,NA,NA,NA,1017,NA,6.8,1.2,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-12-28,NA,4.5,NA,NA,NA,NA,NA,NA,1029,NA,NA,NA,NA,NA,3.5,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-27,29.1,6.4,6.5,NA,NA,NA,NA,NA,NA,NA,6.8,0.7,NA,NA,2.4,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-12-24,30.3,7.5,7.1,33.3,NA,NA,NA,NA,1005,NA,6.7,NA,NA,NA,3.1,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2014-12-23,27.9,5.1,NA,31.9,NA,NA,NA,NA,1003,NA,6.4,1.4,NA,NA,3.7,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-12-22,27.5,NA,NA,32.5,NA,NA,NA,NA,1019,NA,NA,NA,NA,NA,4.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-12-21,30.9,5.7,5.2,NA,NA,NA,NA,NA,1000,NA,6.4,NA,NA,NA,3.7,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-12-21,29.5,7.5,NA,33.5,NA,NA,NA,NA,1003,NA,6.5,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PatrisNews,2014-12-21,24.4,8.7,4.6,32.2,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,4.2,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-20,30.3,6.2,6.3,33.3,NA,NA,NA,NA,1000,NA,5.5,1.1,NA,NA,2.2,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2014-12-18,29.3,5.7,6.5,33.5,NA,NA,NA,NA,1002,NA,5.4,NA,NA,NA,3.5,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2014-12-17,28.4,5.5,6.4,32.5,NA,NA,NA,NA,NA,NA,6.6,1.6,NA,NA,3.4,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2014-12-17,NA,5.5,5.5,35.5,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,3.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-12-17,29.5,NA,NA,36.5,NA,NA,NA,NA,1010,NA,NA,NA,NA,NA,3.5,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-12-16,NA,4.5,NA,34.5,NA,NA,NA,NA,1024,NA,6.5,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-15,30.3,6.1,NA,33.6,NA,NA,NA,NA,NA,NA,5.8,1.1,NA,NA,2.2,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2014-12-15,27.8,6.1,6.6,33.7,NA,NA,NA,NA,1202,NA,NA,NA,NA,NA,3.3,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCitizens,2014-12-14,NA,4.5,7.1,33.7,NA,NA,NA,NA,800,NA,8.8,1.4,NA,NA,3.5,NA,NA,6.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-12-13,28.5,8.5,NA,32.5,NA,NA,NA,NA,1004,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2014-12-13,26.7,NA,6.4,30.8,NA,NA,NA,NA,1014,NA,5.7,1.9,NA,NA,3.6,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-12,30.5,6.5,5.5,NA,NA,NA,NA,NA,1000,NA,4.6,1.5,NA,NA,2.6,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-12-12,30.3,6.3,5.5,34.8,NA,NA,NA,NA,1000,NA,7.1,NA,NA,NA,3.7,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-12-11,28.4,8.4,7.3,NA,NA,NA,NA,NA,1014,NA,7.4,NA,NA,NA,3.4,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-10,30.5,5.7,6.7,34.2,NA,NA,NA,NA,1004,NA,5.2,0.8,NA,NA,2.1,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ProRata,2014-12-10,NA,NA,6.5,NA,NA,NA,NA,NA,1008,NA,6.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-12-10,28.6,5.8,5.6,32.8,NA,NA,NA,NA,1000,NA,5.6,NA,NA,NA,3.4,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2014-12-10,25.9,6.6,6.5,NA,NA,NA,NA,NA,2000,NA,6.4,1.5,NA,NA,3.8,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-12-09,29.6,NA,5.5,35.7,NA,NA,NA,NA,1000,NA,6.9,NA,NA,NA,4.2,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-12-06,26.5,NA,6.5,32.5,NA,NA,NA,NA,1007,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-05,30.4,6.5,5.5,NA,NA,NA,NA,NA,1005,NA,4.6,1.7,NA,NA,2.6,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-12-03,27.8,5.4,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-11-29,NA,NA,6.5,32.5,NA,NA,NA,NA,1018,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-11-27,NA,NA,6.5,34.5,NA,NA,NA,NA,1010,NA,NA,0.5,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-11-26,28.2,6.4,6.6,33.1,NA,NA,NA,NA,1004,NA,6.1,NA,NA,NA,3.7,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2014-11-24,NA,NA,6.5,NA,NA,NA,NA,NA,1039,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-11-19,27.3,8.4,7.3,31.8,NA,NA,NA,NA,1008,NA,7.5,NA,NA,NA,3.9,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-11-19,26.3,5.2,6.2,32.9,NA,NA,NA,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2014-11-19,25.1,5.1,6.4,30.6,NA,NA,NA,NA,1011,NA,6.3,1.4,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-11-17,NA,NA,6.5,38.5,NA,NA,NA,NA,1005,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-11-12,26.5,5.3,6.1,31.3,NA,NA,NA,NA,1001,NA,5.8,1.6,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-11-06,NA,5.9,5.2,33.3,NA,NA,NA,NA,1005,NA,4.1,1.5,NA,NA,3.5,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-11-05,26.5,5.1,5.3,32.6,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,4.8,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-11-03,23.5,5.5,5.5,NA,NA,NA,NA,NA,1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2014-10-31,26.8,5.2,6.9,33.5,NA,NA,NA,NA,1002,NA,6.5,1.3,NA,NA,3.8,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2014-10-30,28.3,6.2,6.3,NA,NA,NA,NA,NA,1008,NA,7.5,1.1,NA,NA,2.7,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-10-23,29.8,5.1,5.5,35.4,NA,NA,NA,NA,1000,NA,6.9,NA,NA,NA,3.7,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-10-21,26.5,NA,6.5,32.5,NA,NA,NA,NA,1222,NA,8.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-10-20,NA,NA,6.5,35.5,NA,NA,NA,NA,1007,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-10-15,26.1,4.7,6.8,32.9,NA,NA,NA,NA,1001,NA,6.3,NA,NA,NA,4.7,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-10-15,27.5,6.8,6.2,32.1,NA,NA,NA,NA,1028,NA,7.5,1.3,NA,NA,4.5,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2014-10-15,NA,NA,6.5,NA,NA,NA,NA,NA,1015,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2014-10-13,25.3,NA,7.2,33.5,NA,NA,NA,NA,1202,NA,7.2,NA,NA,NA,3.8,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2014-10-10,28.9,6.5,6.5,32.6,NA,NA,NA,NA,1008,NA,8.2,1.1,NA,NA,2.9,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-10-08,26.2,4.6,5.3,34.1,NA,NA,NA,NA,1000,NA,NA,1.3,NA,NA,3.3,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-10-08,NA,6.5,NA,35.5,NA,NA,NA,NA,1014,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUEB-STAT,2014-10-04,23.7,6.8,6.4,34.1,NA,NA,NA,NA,2878,NA,10.5,0.8,NA,NA,3.3,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E-Voice,2014-10-02,25.3,5.6,6.4,30.7,NA,NA,NA,NA,1001,NA,7.7,1.2,NA,NA,2.9,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-09-23,NA,5.5,6.5,NA,NA,NA,NA,NA,1008,NA,7.5,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2014-09-18,27.8,5.3,NA,32.6,NA,NA,NA,NA,1001,NA,8.5,1.3,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2014-09-18,25.3,5.3,6.5,NA,NA,NA,NA,NA,1006,NA,8.5,1.3,NA,NA,4.1,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-09-18,28.3,5.5,5.6,33.1,NA,NA,NA,NA,1000,NA,7.9,2.2,NA,NA,3.9,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2014-09-15,NA,NA,NA,30.5,NA,NA,NA,NA,1021,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-09-10,27.4,6.2,7.5,NA,NA,NA,NA,NA,1001,NA,7.1,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E-Voice,2014-09-04,NA,6.8,9.2,28.6,NA,NA,NA,NA,1000,NA,NA,1.8,NA,NA,3.4,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-09-03,27.8,5.5,5.9,32.4,NA,NA,NA,NA,1000,NA,9.4,2.9,NA,NA,4.5,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-08-28,NA,4.5,NA,NA,NA,NA,NA,NA,2000,NA,11.5,1.5,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-07-16,24.5,8.5,6.5,28.5,NA,NA,NA,NA,1253,NA,10.5,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-07-09,NA,7.5,6.5,NA,NA,NA,NA,NA,NA,NA,8.5,1.5,NA,NA,4.5,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2014-07-04,24.7,7.9,6.4,26.8,NA,NA,NA,NA,2000,NA,10.6,1.6,NA,NA,4.7,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-06-11,24.9,NA,NA,27.9,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-06-10,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EP Election,2014-05-25,22.7,NA,6.1,26.6,NA,NA,NA,NA,NA,NA,9.4,1.2,NA,NA,3.5,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Local Elections,2014-05-25,26.3,16.2,8.8,17.7,NA,NA,NA,NA,NA,NA,8.1,3.8,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-05-22,25.8,6.6,NA,NA,NA,NA,NA,NA,1200,NA,9.6,2.2,NA,NA,4.1,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-05-18,24.6,6.7,6.9,29.7,NA,NA,NA,NA,NA,NA,9.4,1.5,NA,NA,4.3,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-05-14,26.4,6.1,NA,28.1,NA,NA,NA,NA,1000,NA,8.8,2.9,NA,NA,5.5,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2014-05-12,28.3,6.8,8.3,26.7,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,4.6,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-05-08,24.9,6.3,7.3,26.4,NA,NA,NA,NA,1149,NA,8.7,2.4,NA,NA,4.7,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-05-06,NA,NA,7.5,NA,NA,NA,NA,NA,1005,NA,8.5,3.5,NA,NA,3.5,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-05-01,27.1,4.1,4.9,NA,NA,NA,NA,NA,1006,NA,8.6,1.9,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-04-30,29.2,NA,6.2,27.6,NA,NA,NA,NA,NA,NA,7.5,2.5,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-04-25,28.6,6.3,6.1,27.7,NA,NA,NA,NA,1000,NA,8.6,3.2,NA,NA,4.6,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2014-04-11,26.5,5.9,7.3,25.3,NA,NA,NA,NA,1006,NA,9.9,3.4,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-04-09,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-04-08,27.5,NA,NA,NA,NA,NA,NA,NA,1006,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2014-04-07,26.9,7.1,8.3,25.8,NA,NA,NA,NA,1402,NA,8.3,3.7,NA,NA,5.2,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2014-04-04,21.5,5.5,NA,NA,NA,NA,NA,NA,1208,NA,9.5,2.5,NA,NA,4.5,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-04-03,25.8,5.7,7.7,26.7,NA,NA,NA,NA,1003,NA,9.6,2.1,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-04-03,25.1,5.8,6.1,26.5,NA,NA,NA,NA,1602,NA,7.9,3.2,NA,NA,3.7,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-04-02,26.8,6.7,7.2,24.2,NA,NA,NA,NA,1006,NA,8.5,2.6,NA,NA,4.8,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-03-27,25.1,6.4,NA,24.6,NA,NA,NA,NA,1000,NA,9.6,3.2,NA,NA,5.2,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-03-27,25.2,5.2,6.1,26.8,NA,NA,NA,NA,1012,NA,10.3,2.7,NA,NA,4.2,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-03-18,24.5,NA,NA,26.5,NA,NA,NA,NA,1289,NA,12.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-03-13,23.6,6.7,6.6,25.1,NA,NA,NA,NA,1000,NA,9.1,2.9,NA,NA,5.9,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2014-03-12,NA,5.5,NA,23.5,NA,NA,NA,NA,1005,NA,11.5,2.5,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-03-10,NA,5.5,7.5,28.5,NA,NA,NA,NA,1015,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-03-04,26.3,NA,6.8,27.5,NA,NA,NA,NA,1000,NA,9.1,3.7,NA,NA,5.3,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-03-01,27.2,4.9,5.8,33.1,NA,NA,NA,NA,1001,NA,12.1,2.5,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-02-26,28.5,6.4,8.7,29.2,NA,NA,NA,NA,NA,NA,9.7,4.7,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-02-11,27.1,5.4,7.3,NA,NA,NA,NA,NA,1000,NA,NA,4.1,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2014-02-10,26.5,7.4,NA,28.1,NA,NA,NA,NA,1002,NA,9.5,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-02-07,28.5,NA,7.5,NA,NA,NA,NA,NA,1007,NA,8.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2014-02-05,NA,6.6,6.6,29.8,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2014-02-05,29.3,5.8,NA,29.7,NA,NA,NA,NA,1008,NA,12.4,3.8,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-01-25,27.2,4.9,5.8,32.3,NA,NA,NA,NA,1001,NA,9.3,2.7,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-01-24,28.2,6.1,NA,NA,NA,NA,NA,NA,1000,NA,10.1,4.2,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-01-22,29.2,6.4,NA,30.4,NA,NA,NA,NA,1004,NA,10.3,3.7,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-01-21,25.5,NA,NA,NA,NA,NA,NA,NA,1353,NA,13.5,3.5,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-01-13,NA,6.5,6.5,31.5,NA,NA,NA,NA,1008,NA,NA,3.5,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2013-12-19,28.3,7.3,6.9,29.3,NA,NA,NA,NA,1010,NA,9.8,3.7,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2013-12-19,29.7,5.6,7.9,30.2,NA,NA,NA,NA,1003,NA,7.6,4.3,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2013-12-19,24.4,6.3,6.5,NA,NA,NA,NA,NA,1012,NA,9.1,5.6,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2013-12-18,NA,NA,NA,NA,NA,NA,NA,NA,1203,NA,14.5,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2013-12-11,27.9,6.3,6.6,29.1,NA,NA,NA,NA,2000,NA,11.8,4.1,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2013-12-08,28.5,6.5,5.5,30.2,NA,NA,NA,NA,1603,NA,10.3,3.9,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2013-12-03,NA,NA,7.5,28.5,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2013-11-30,26.2,7.6,7.7,26.8,NA,NA,NA,NA,1017,NA,NA,5.2,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2013-11-28,28.9,7.7,6.3,28.1,NA,NA,NA,NA,1009,NA,9.9,4.3,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2013-11-28,NA,6.2,7.1,29.7,NA,NA,NA,NA,1001,NA,8.8,2.3,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2013-11-25,27.8,6.4,6.6,29.7,NA,NA,NA,NA,NA,NA,8.8,5.8,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2013-11-20,29.2,NA,5.9,29.9,NA,NA,NA,NA,1001,NA,NA,3.7,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2013-11-16,26.5,7.5,NA,30.5,NA,NA,NA,NA,1001,NA,NA,3.5,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2013-11-15,27.8,6.4,5.3,28.3,NA,NA,NA,NA,1000,NA,11.1,4.3,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2013-11-14,30.9,5.9,7.4,28.9,NA,NA,NA,NA,1002,NA,7.9,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2013-11-12,NA,NA,NA,27.5,NA,NA,NA,NA,1207,NA,NA,3.5,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2013-10-16,30.3,7.1,5.9,28.9,NA,NA,NA,NA,1001,NA,7.6,3.6,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
