cycle;state;incumbent
2012;Minnesota;Amy Klobuchar
2012;Mississippi;Roger Wicker
2012;Missouri;Claire McCaskill
2012;Montana;Jon Tester
2012;Nebraska;Ben Nelson
2012;Nevada;Dean Heller
2012;New Jersey;Bob Menendez
2012;New Mexico;Jeff Bingaman
2012;New York;Kirsten Gillibrand
2012;North Dakota;Kent Conrad
2012;Ohio;Sherrod Brown
2012;Pennsylvania;Bob Casey Jr.
2012;Rhode Island;Sheldon Whitehouse
2012;Tennessee;Bob Corker
2012;Texas;Kay Bailey Hutchison
2012;Utah;Orrin Hatch
2012;Vermont;Bernie Sanders
2012;Virginia;Jim Webb
2012;Washington;Maria Cantwell
2012;West Virginia;Joe Manchin
2012;Wisconsin;Herb Kohl
2012;Wyoming;John Barrasso
2014;Alabama;Jeff Sessions
2014;Alaska;Mark Begich
2014;Arkansas;Mark Pryor
2014;Colorado;Mark Udall
2014;Delaware;Chris Coons
2014;Georgia;Saxby Chambliss
2014;Idaho;Jim Risch
2014;Illinois;Dick Durbin
2014;Iowa;Tom Harkin
2014;Kansas;Pat Roberts
2014;Kentucky;Mitch McConnell
2014;Louisiana;Mary Landrieu
2014;Maine;Susan Collins
2014;Massachusetts;Ed Markey
2014;Michigan;Carl Levin
2014;Minnesota;Al Franken
2014;Mississippi;Thad Cochran
2014;Montana;John Walsh
2014;Nebraska;Mike Johanns
2014;New Hampshire;Jeanne Shaheen
2014;New Jersey;Cory Booker
2014;New Mexico;Tom Udall
2014;North Carolina;Kay Hagan
2014;Oklahoma;Jim Inhofe
2014;Oregon;Jeff Merkley
2014;Rhode Island;Jack Reed
2014;South Carolina;Lindsey Graham
2014;South Dakota;Tim Johnson
2014;Tennessee;Lamar Alexander
2014;Texas;John Cornyn
2014;Virginia;Mark Warner
2014;West Virginia;Jay Rockefeller
2014;Wyoming;Mike Enzi
2016;Alabama;Richard Shelby
2016;Alaska;Lisa Murkowski
2016;Arizona;John McCain
2016;Arkansas;John Boozman
2016;California;Barbara Boxer
2016;Colorado;Michael Bennet
2016;Connecticut;Richard Blumenthal
2016;Florida;Marco Rubio
2016;Georgia;Johnny Isakson
2016;Hawaii;Brian Schatz
2016;Idaho;Mike Crapo
2016;Illinois;Mark Kirk
2016;Indiana;Dan Coats
2016;Iowa;Chuck Grassley
2016;Kansas;Jerry Moran
2016;Kentucky;Rand Paul
2016;Louisiana;David Vitter
2016;Maryland;Barbara Mikulski
2016;Missouri;Roy Blunt
2016;Nevada;Harry Reid
2016;New Hampshire;Kelly Ayotte
2016;New York;Chuck Schumer
2016;North Carolina;Richard Burr
2016;North Dakota;John Hoeven
2016;Ohio;Rob Portman
2016;Oklahoma;James Lankford
2016;Oregon;Ron Wyden
2016;Pennsylvania;Pat Toomey
2016;South Carolina;Tim Scott
2016;South Dakota;John Thune
2016;Utah;Mike Lee
2016;Vermont;Patrick Leahy
2016;Washington;Patty Murray
2016;Wisconsin;Ron Johnson
2018;Arizona;Jeff Flake
2018;California;Dianne Feinstein
2018;Connecticut;Chris Murphy
2018;Delaware;Tom Carper
2018;Florida;Bill Nelson
