incumbency,dem_candidate,rep_candidate,no_candidates,election_year,state_long,senator
TRUE,Bob Menendez,Bob Hugin,8,2018,New Jersey,Bob Menendez
TRUE,Martin Heinrich,Mick Rich,3,2018,New Mexico,Martin Heinrich
TRUE,Kirsten Gillibrand,Chele Chiavacci Farley,2,2018,New York,Kirsten Gillibrand
TRUE,Heidi Heitkamp,Kevin Cramer,2,2018,North Dakota,Heidi Heitkamp
TRUE,Sherrod Brown,Jim Renacci,2,2018,Ohio,Sherrod Brown
TRUE,Bob Casey Jr.,Lou Barletta,4,2018,Pennsylvania,Bob Casey Jr.
TRUE,Sheldon Whitehouse,Robert Flanders,2,2018,Rhode Island,Sheldon Whitehouse
FALSE,Phil Bredesen,Marsha Blackburn,8,2018,Tennessee,Bob Corker
TRUE,Beto O'Rourke,Ted Cruz,3,2018,Texas,Ted Cruz
FALSE,Jenny Wilson,Mitt Romney,5,2018,Utah,Orrin Hatch
TRUE,NA,Lawrence Zupan,2,2018,Vermont,Bernie Sanders
TRUE,Tim Kaine,Corey Stewart,3,2018,Virginia,Tim Kaine
TRUE,Maria Cantwell,Susan Hutchison,2,2018,Washington,Maria Cantwell
TRUE,Joe Manchin,Patrick Morrisey,3,2018,West Virginia,Joe Manchin
TRUE,Tammy Baldwin,Leah Vukmir,2,2018,Wisconsin,Tammy Baldwin
TRUE,Gary Trauner,John Barrasso,3,2018,Wyoming,John Barrasso
TRUE,Zell Miller,Mack Mattingly,2,2000,Georgia,Zell Miller
TRUE,Jean Carnahan,Jim Talent,4,2002,Missouri,Jean Carnahan
TRUE,Ronnie Musgrove,Roger Wicker,2,2008,Mississippi,Roger Wicker
TRUE,Nick Carter,John Barrasso,2,2008,Wyoming,John Barrasso
FALSE,Martha Coakley,Scott Brown,3,2010,Massachusetts,Paul G. Kirk
FALSE,Chris Coons,Christine O'Donnell,4,2010,Delaware,Ted Kaufman
FALSE,Alexi Giannoulias,Mark Kirk,4,2010,Illinois,Roland Burris
TRUE,Kirsten Gillibrand,Joseph DioGuardi,4,2010,New York,Kirsten Gillibrand
FALSE,Joe Manchin,John Raese,4,2010,West Virginia,Carte Goodwin
TRUE,Brian Schatz,Campbell Cavasso,3,2014,Hawaii,Brian Schatz
FALSE,Connie Johnson,James Lankford,3,2014,Oklahoma,Tom Coburn
TRUE,Joyce Dickerson,Tim Scott,3,2014,South Carolina,Tim Scott
TRUE,Tina Smith,Karin Housley,4,2018,Minnesota,Tina Smith
TRUE,Mike Espy,Cindy Hyde-Smith,2,2018,Mississippi,Cindy Hyde-Smith
