"","candidate","jpg","party","clarifai_gender","clarifai_race","gender","race","gender_checked","race_checked"
"242","Linda Smith","linda_smith.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"243","Lindsey Graham","lindsey_graham.jpg","REP","Feminine","White","Masculine","White","Masculine","White"
"244","Lisa Murkowski","lisa_murkowski.jpg","REP","Feminine","Middle Eastern","Feminine","White","Feminine","White"
"245","Lois Combs Weinberg","lois_combs_weinberg.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"246","Lou Barletta","lou_barletta.jpg","REP","Masculine","Latino_Hispanic","Masculine","White","Masculine","Italian"
"247","Maggie Hassan","maggie_hassan.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"248","Marco Rubio","marco_rubio.jpg","REP","Masculine","White","Masculine","White","Masculine","Cuban"
"249","Maria Cantwell","maria_cantwell.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"250","Mark Begich","mark_begich.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"251","Mark Clayton","mark_clayton.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"252","Mark Dayton","mark_dayton.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"253","Mark Kennedy","mark_kennedy.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"254","Mark Kirk","mark_kirk.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"255","Mark Neumann","mark_neumann.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"256","Mark Pryor","mark_pryor.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"257","Mark Ronchetti","mark_ronchetti.jpg","REP","Masculine","White","Masculine","White","Masculine","Italian"
"258","Mark Udall","mark_udall.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"259","Mark Warner","mark_warner.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"260","Marsha Blackburn","marsha_blackburn.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"261","Martha McSally","martha_mcsally.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"262","Martin Heinrich","martin_heinrich.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"263","Marvin Scott","marvin_scott.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"264","Mary Landrieu","mary_landrieu.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"265","Mary Boyle","mary_oboyle.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"266","Matt Fong","matt_fong.jpg","REP","Masculine","East Asian","Masculine","East Asian","Masculine","East Asian"
"267","Matt Rosendale","matt_rosendale.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"268","Matthew Corey","matthew_corey.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"269","Max Baucus","max_baucus.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"270","Max Cleland","max_cleland.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"271","Mazie Hirono","mazie_hirono.jpg","DEM","Feminine","East Asian","Feminine","East Asian","Feminine","East Asian"
"272","Mel Carnahan","mel_carnahan.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"273","Mel Logan","mel_logan.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"274","Merav Ben-David","merav_ben-david.jpg","DEM","Masculine","White","Feminine","White","Feminine","White"
"275","Michael Baumgartner","michael_baumgartner.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"276","Michael Bennet","michael_bennet.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"277","Michael Coles","michael_coles.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"278","Michael Steele","michael_steele.jpg","REP","Masculine","Indian","Masculine","Black","Masculine","Black"
"279","Michael Thurmond","michael_thurmond.jpg","DEM","Masculine","Black","Masculine","Black","Masculine","Black"
