"","jpg","candidate","party","clarifai_gender","clarifai_race"
"63","carol_m_braun.jpg","Carol Moseley Braun","DEM","Feminine","Black"
"64","catherine_c_masto.jpg","Catherine Cortez Masto","DEM","Feminine","White"
"65","charles_e_summers_jr.jpg","Charles E. Summers Jr.","REP","Masculine","White"
"66","charles_melancon.jpg","Charles Melancon","DEM","Masculine","White"
"67","charlie_a_matulka.jpg","Charlie A. Matulka"," DEM","Masculine","Middle Eastern"
"68","chele_chiavacci_farley.jpg","Chele Chiavacci Farley","REP","Feminine","White"
"69","chellie_pingree.jpg","Chellie Pingree","DEM","Feminine","White"
"70","chris_coons.jpg","Chris Coons","DEM","Masculine","White"
"71","chris_janicek.jpg","Chris Janicek","DEM","Masculine","White"
"72","chris_murphy.jpg","Chris Murphy","DEM","Masculine","White"
"73","chris_rothfuss.jpg","Chris Rothfuss","DEM","Masculine","White"
"74","chris_van_hollen.jpg","Chris Van Hollen","DEM","Masculine","White"
"75","chris_vance.jpg","Chris Vance","REP","Masculine","White"
"76","christine_odonnell.jpg","Christine O'Donnell","REP","Feminine","Latino_Hispanic"
"77","christopher_dodd.jpg","Chris Dodd","DEM","Masculine","White"
"78","christopher_reed.jpg","Christopher Reed","REP","Masculine","White"
"79","chuck_grassley.jpg","Chuck Grassley","REP","Masculine","White"
"80","chuck_hagel.jpg","Chuck Hagel"," REP","Masculine","White"
"81","chuck_robb.jpeg","Chuck Robb","DEM","Masculine","White"
"82","chuck_schumer.jpg","Chuck Schumer","DEM","Masculine","White"
"83","cindy_hyde-smith.jpg","Cindy Hyde-Smith","REP","Feminine","White"
"84","claire_mccaskill.jpg","Claire McCaskill","DEM","Feminine","White"
"85","conrad_burns.jpg","Conrad Burns","REP","Masculine","White"
"86","corey_stewart.jpg","Corey Stewart","REP","Masculine","White"
"87","corky_messner.jpg","Corky Messner","REP","Masculine","White"
"88","cory_booker.jpg","Cory Booker","DEM","Masculine","Black"
"89","cory_gardner.jpeg","Cory Gardner","REP","Masculine","White"
"90","craig_l_thomas.jpg","Craig L. Thomas","REP","Masculine","Latino_Hispanic"
"91","cynthia_dill.jpg","Cynthia Dill","DEM","Feminine","White"
"92","cynthia_lummis.jpg","Cynthia Lummis","REP","Feminine","White"
"93","dale_groutage.jpg","Dale Groutage"," DEM","Masculine","White"
"94","dan_ahlers.jpg","Dan Ahlers","DEM","Masculine","White"
"95","dan_bongino.jpg","Dan Bongino","REP","Masculine","White"
"96","dan_carter.jpg","Dan Carter","REP","Masculine","White"
"97","dan_coats.jpg","Dan Coats","REP","Masculine","White"
"98","dan_sullivan.jpg","Dan Sullivan","REP","Masculine","White"
"99","daniel_gade.jpg","Daniel Gade","REP","Masculine","White"
"100","daniel_mongiardo.jpg","Daniel Mongiardo","DEM","Masculine","Middle Eastern"
"101","darryl_glenn.jpg","Darryl Glenn","REP","Masculine","Black"
"102","david_baria.jpg","David Baria","DEM","Masculine","White"
"103","david_johnson.jpg","David Johnson","DEM","Masculine","White"
"104","david_perdue.jpg","David Perdue","REP","Masculine","White"
"105","david_vitter.jpg","David Vitter","REP","Masculine","White"
"106","david_walters.jpg","David Walters","DEM","Masculine","White"
"107","dean_heller.jpg","Dean Heller","REP","Masculine","White"
"108","deb_fischer.jpg","Deb Fischer","REP","Feminine","White"
"109","debbie_stabenow.jpg","Debbie Stabenow","DEM","Feminine","White"
"110","deborah_k_ross.jpg","Deborah Ross","DEM","Feminine","White"
"111","denise_majette.jpg","Denise Majette","DEM","Feminine","Black"
"112","denny_rehberg.jpg","Denny Rehberg","REP","Masculine","White"
"113","dianne_feinstein.jpg","Dianne Feinstein","DEM","Feminine","White"
"114","dick_durbin.jpg","Dick Durbin","DEM","Masculine","White"
"115","dick_zimmer.jpg","Dick Zimmer","REP","Masculine","White"
"116","dino_rossi.jpg","Dino Rossi","REP","Masculine","White"
"117","don_stenberg.jpg","Don Stenberg","REP","Masculine","White"
"118","doug_forrester.jpg","Doug Forrester","REP","Masculine","White"
"119","doug_jones.jpg","Doug Jones","DEM","Masculine","White"
"120","duane_sand.jpg","Duane Sand","REP","Masculine","White"
"121","e_j_pipkin.jpg","E. J. Pipkin","REP","Masculine","White"
"122","ed_flanagan.jpg","Ed Flanagan","DEM","Masculine","White"
"123","ed_gillespie.jpg","Ed Gillespie","REP","Masculine","White"
"124","ed_markey.jpg","Ed Markey","DEM","Masculine","White"
