state_long,party,name,first_name,rest_name,election_year
South Dakota,dem_candidate,Tim Johnson,Tim,Johnson,2002
South Dakota,rep_candidate,John Thune,John,Thune,2002
Tennessee,dem_candidate,Bob Clement,Bob,Clement,2002
Tennessee,rep_candidate,Lamar Alexander,Lamar,Alexander,2002
Texas,dem_candidate,Ron Kirk,Ron,Kirk,2002
Texas,rep_candidate,John Cornyn,John,Cornyn,2002
Virginia,rep_candidate,John Warner,John,Warner,2002
West Virginia,dem_candidate,Jay Rockefeller,Jay,Rockefeller,2002
West Virginia,rep_candidate,Jay Wolfe,Jay,Wolfe,2002
Wyoming,dem_candidate,Joyce Jansa Corcoran,Joyce,Corcoran,2002
Wyoming,rep_candidate,Mike Enzi,Mike,Enzi,2002
Alabama,dem_candidate,Wayne Sowell,Wayne,Sowell,2004
Alabama,rep_candidate,Richard Shelby,Richard,Shelby,2004
Alaska,dem_candidate,Tony Knowles,Tony,Knowles,2004
Alaska,rep_candidate,Lisa Murkowski,Lisa,Murkowski,2004
Arizona,dem_candidate,Stuart Starky,Stuart,Starky,2004
Arizona,rep_candidate,John McCain,John,McCain,2004
Arkansas,dem_candidate,Blanche Lincoln,Blanche,Lincoln,2004
Arkansas,rep_candidate,Jim Holt,Jim,Holt,2004
California,dem_candidate,Barbara Boxer,Barbara,Boxer,2004
California,rep_candidate,Bill Jones,Bill,Jones,2004
Colorado,dem_candidate,Ken Salazar,Ken,Salazar,2004
Colorado,rep_candidate,Pete Coors,Pete,Coors,2004
Connecticut,dem_candidate,Chris Dodd,Chris,Dodd,2004
Connecticut,rep_candidate,Jack Orchulli,Jack,Orchulli,2004
Florida,dem_candidate,Betty Castor,Betty,Castor,2004
Florida,rep_candidate,Mel Martinez,Mel,Martinez,2004
Georgia,dem_candidate,Denise Majette,Denise,Majette,2004
Georgia,rep_candidate,Johnny Isakson,Johnny,Isakson,2004
Hawaii,dem_candidate,Daniel Inouye,Daniel,Inouye,2004
Hawaii,rep_candidate,Campbell Cavasso,Campbell,Cavasso,2004
Idaho,rep_candidate,Mike Crapo,Mike,Crapo,2004
Illinois,dem_candidate,Barack Obama,Barack,Obama,2004
Illinois,rep_candidate,Alan Keyes,Alan,Keyes,2004
Indiana,dem_candidate,Evan Bayh,Evan,Bayh,2004
Indiana,rep_candidate,Marvin Scott,Marvin,Scott,2004
Iowa,dem_candidate,Arthur Small,Arthur,Small,2004
Iowa,rep_candidate,Chuck Grassley,Chuck,Grassley,2004
Kansas,dem_candidate,Lee Jones,Lee,Jones,2004
Kansas,rep_candidate,Sam Brownback,Sam,Brownback,2004
Kentucky,dem_candidate,Daniel Mongiardo,Daniel,Mongiardo,2004
Kentucky,rep_candidate,Jim Bunning,Jim,Bunning,2004
Maryland,dem_candidate,Barbara Mikulski,Barbara,Mikulski,2004
Maryland,rep_candidate,E. J. Pipkin,E.,Pipkin,2004
Missouri,dem_candidate,Nancy Farmer,Nancy,Farmer,2004
Missouri,rep_candidate,Kit Bond,Kit,Bond,2004
Nevada,dem_candidate,Harry Reid,Harry,Reid,2004
Nevada,rep_candidate,Richard Ziser,Richard,Ziser,2004
New Hampshire,dem_candidate,Doris Haddock,Doris,Haddock,2004
New Hampshire,rep_candidate,Judd Gregg,Judd,Gregg,2004
New York,dem_candidate,Chuck Schumer,Chuck,Schumer,2004
New York,rep_candidate,Howard Mills III,Howard,Mills,2004
North Carolina,dem_candidate,Erskine Bowles,Erskine,Bowles,2004
North Carolina,rep_candidate,Richard Burr,Richard,Burr,2004
North Dakota,dem_candidate,Byron Dorgan,Byron,Dorgan,2004
North Dakota,rep_candidate,Mike Liffrig,Mike,Liffrig,2004
Ohio,dem_candidate,Eric Fingerhut,Eric,Fingerhut,2004
Ohio,rep_candidate,George Voinovich,George,Voinovich,2004
Oklahoma,dem_candidate,Brad Carson,Brad,Carson,2004
Oklahoma,rep_candidate,Tom Coburn,Tom,Coburn,2004
Oregon,dem_candidate,Ron Wyden,Ron,Wyden,2004
Oregon,rep_candidate,Al King,Al,King,2004
Pennsylvania,dem_candidate,Joe Hoeffel,Joe,Hoeffel,2004
Pennsylvania,rep_candidate,Arlen Specter,Arlen,Specter,2004
South Carolina,dem_candidate,Inez Tenenbaum,Inez,Tenenbaum,2004
South Carolina,rep_candidate,Jim DeMint,Jim,DeMint,2004
South Dakota,dem_candidate,Tom Daschle,Tom,Daschle,2004
South Dakota,rep_candidate,John Thune,John,Thune,2004
Utah,dem_candidate,Paul Van Dam,Paul,Dam,2004
Utah,rep_candidate,Bob Bennett,Bob,Bennett,2004
Vermont,dem_candidate,Patrick Leahy,Patrick,Leahy,2004
Vermont,rep_candidate,John A. McMullen,John,McMullen,2004
Washington,dem_candidate,Patty Murray,Patty,Murray,2004
Washington,rep_candidate,George Nethercutt,George,Nethercutt,2004
Wisconsin,dem_candidate,Russ Feingold,Russ,Feingold,2004
Wisconsin,rep_candidate,Tim Michels,Tim,Michels,2004
Arizona,dem_candidate,Jim Pederson,Jim,Pederson,2006
Arizona,rep_candidate,Jon Kyl,Jon,Kyl,2006
California,dem_candidate,Dianne Feinstein,Dianne,Feinstein,2006
California,rep_candidate,Dick Mountjoy,Dick,Mountjoy,2006
Connecticut,dem_candidate,Ned Lamont,Ned,Lamont,2006
Connecticut,rep_candidate,Alan Schlesinger,Alan,Schlesinger,2006
Delaware,dem_candidate,Tom Carper,Tom,Carper,2006
Delaware,rep_candidate,Jan Ting,Jan,Ting,2006
Florida,dem_candidate,Bill Nelson,Bill,Nelson,2006
Florida,rep_candidate,Katherine Harris,Katherine,Harris,2006
Hawaii,dem_candidate,Daniel Akaka,Daniel,Akaka,2006
Hawaii,rep_candidate,Cynthia Thielen,Cynthia,Thielen,2006
Indiana,rep_candidate,Richard Lugar,Richard,Lugar,2006
Maine,dem_candidate,Jean Hay Bright,Jean,Bright,2006
Maine,rep_candidate,Olympia Snowe,Olympia,Snowe,2006
Maryland,dem_candidate,Ben Cardin,Ben,Cardin,2006
Maryland,rep_candidate,Michael Steele,Michael,Steele,2006
Massachusetts,dem_candidate,Ted Kennedy,Ted,Kennedy,2006
Massachusetts,rep_candidate,Kenneth Chase,Kenneth,Chase,2006
Michigan,dem_candidate,Debbie Stabenow,Debbie,Stabenow,2006
Michigan,rep_candidate,Mike Bouchard,Mike,Bouchard,2006
Minnesota,dem_candidate,Amy Klobuchar,Amy,Klobuchar,2006
Minnesota,rep_candidate,Mark Kennedy,Mark,Kennedy,2006
Mississippi,dem_candidate,Erik Fleming,Erik,Fleming,2006
Mississippi,rep_candidate,Trent Lott,Trent,Lott,2006
Missouri,dem_candidate,Claire McCaskill,Claire,McCaskill,2006
Missouri,rep_candidate,Jim Talent,Jim,Talent,2006
Montana,dem_candidate,Jon Tester,Jon,Tester,2006
Montana,rep_candidate,Conrad Burns,Conrad,Burns,2006
Nebraska,dem_candidate,Ben Nelson,Ben,Nelson,2006
Nebraska,rep_candidate,Pete Ricketts,Pete,Ricketts,2006
Nevada,dem_candidate,Jack Carter,Jack,Carter,2006
Nevada,rep_candidate,John Ensign,John,Ensign,2006
New Jersey,dem_candidate,Bob Menendez,Bob,Menendez,2006
New Jersey,rep_candidate,Thomas Kean Jr.,Thomas,Kean,2006
New Mexico,dem_candidate,Jeff Bingaman,Jeff,Bingaman,2006
New Mexico,rep_candidate,Allen McCulloch,Allen,McCulloch,2006
New York,dem_candidate,Hillary Clinton,Hillary,Clinton,2006
New York,rep_candidate,John Spencer,John,Spencer,2006
North Dakota,dem_candidate,Kent Conrad,Kent,Conrad,2006
North Dakota,rep_candidate,Dwight Grotberg,Dwight,Grotberg,2006
Ohio,dem_candidate,Sherrod Brown,Sherrod,Brown,2006
Ohio,rep_candidate,Mike DeWine,Mike,DeWine,2006
Pennsylvania,dem_candidate,Bob Casey Jr.,Bob,Casey,2006
Pennsylvania,rep_candidate,Rick Santorum,Rick,Santorum,2006
Rhode Island,dem_candidate,Sheldon Whitehouse,Sheldon,Whitehouse,2006
Rhode Island,rep_candidate,Lincoln Chafee,Lincoln,Chafee,2006
Tennessee,dem_candidate,Harold Ford Jr.,Harold,Ford,2006
Tennessee,rep_candidate,Bob Corker,Bob,Corker,2006
Texas,dem_candidate,Barbara Ann Radnofsky,Barbara,Radnofsky,2006
Texas,rep_candidate,Kay Bailey Hutchison,Kay,Hutchison,2006
Utah,dem_candidate,Pete Ashdown,Pete,Ashdown,2006
Utah,rep_candidate,Orrin Hatch,Orrin,Hatch,2006
Vermont,rep_candidate,Richard Tarrant,Richard,Tarrant,2006
Virginia,dem_candidate,Jim Webb,Jim,Webb,2006
Virginia,rep_candidate,George Allen,George,Allen,2006
Washington,dem_candidate,Maria Cantwell,Maria,Cantwell,2006
Washington,rep_candidate,Mike McGavick,Mike,McGavick,2006
West Virginia,dem_candidate,Robert Byrd,Robert,Byrd,2006
West Virginia,rep_candidate,John Raese,John,Raese,2006
Wisconsin,dem_candidate,Herb Kohl,Herb,Kohl,2006
Wisconsin,rep_candidate,Robert Lorge,Robert,Lorge,2006
Wyoming,dem_candidate,Dale Groutage,Dale,Groutage,2006
Wyoming,rep_candidate,Craig L. Thomas,Craig,Thomas,2006
Alabama,dem_candidate,Vivian Davis Figures,Vivian,Figures,2008
Alabama,rep_candidate,Jeff Sessions,Jeff,Sessions,2008
Alaska,dem_candidate,Mark Begich,Mark,Begich,2008
Alaska,rep_candidate,Ted Stevens,Ted,Stevens,2008
Arkansas,dem_candidate,Mark Pryor,Mark,Pryor,2008
Colorado,dem_candidate,Mark Udall,Mark,Udall,2008
Colorado,rep_candidate,Bob Schaffer,Bob,Schaffer,2008
Delaware,dem_candidate,Joe Biden,Joe,Biden,2008
Delaware,rep_candidate,Christine O'Donnell,Christine,O'Donnell,2008
Georgia,dem_candidate,Jim Martin,Jim,Martin,2008
Georgia,rep_candidate,Saxby Chambliss,Saxby,Chambliss,2008
Idaho,dem_candidate,Larry LaRocco,Larry,LaRocco,2008
Idaho,rep_candidate,Jim Risch,Jim,Risch,2008
Illinois,dem_candidate,Dick Durbin,Dick,Durbin,2008
Illinois,rep_candidate,Steve Sauerberg,Steve,Sauerberg,2008
Iowa,dem_candidate,Tom Harkin,Tom,Harkin,2008
Iowa,rep_candidate,Christopher Reed,Christopher,Reed,2008
Kansas,dem_candidate,Jim Slattery,Jim,Slattery,2008
Kansas,rep_candidate,Pat Roberts,Pat,Roberts,2008
Kentucky,dem_candidate,Bruce Lunsford,Bruce,Lunsford,2008
Kentucky,rep_candidate,Mitch McConnell,Mitch,McConnell,2008
Louisiana,dem_candidate,Mary Landrieu,Mary,Landrieu,2008
Louisiana,rep_candidate,John Kennedy,John,Kennedy,2008
Maine,dem_candidate,Tom Allen,Tom,Allen,2008
Maine,rep_candidate,Susan Collins,Susan,Collins,2008
Massachusetts,dem_candidate,John Kerry,John,Kerry,2008
Massachusetts,rep_candidate,Jeff Beatty,Jeff,Beatty,2008
Michigan,dem_candidate,Carl Levin,Carl,Levin,2008
Michigan,rep_candidate,Jack Hoogendyk,Jack,Hoogendyk,2008
Minnesota,dem_candidate,Al Franken,Al,Franken,2008
Minnesota,rep_candidate,Norm Coleman,Norm,Coleman,2008
Mississippi,dem_candidate,Erik Fleming,Erik,Fleming,2008
Mississippi,rep_candidate,Thad Cochran,Thad,Cochran,2008
Montana,dem_candidate,Max Baucus,Max,Baucus,2008
Montana,rep_candidate,Bob Kelleher,Bob,Kelleher,2008
Nebraska,dem_candidate,Scott Kleeb,Scott,Kleeb,2008
Nebraska,rep_candidate,Mike Johanns,Mike,Johanns,2008
New Hampshire,dem_candidate,Jeanne Shaheen,Jeanne,Shaheen,2008
New Hampshire,rep_candidate,John E. Sununu,John,Sununu,2008
New Jersey,dem_candidate,Frank Lautenberg,Frank,Lautenberg,2008
New Jersey,rep_candidate,Dick Zimmer,Dick,Zimmer,2008
New Mexico,dem_candidate,Tom Udall,Tom,Udall,2008
