"","White","Latino_Hispanic","Middle Eastern","Indian","Black","East Asian","Southeast Asian","jpg"
"64",0.895155787467957,0.0035514896735549,0.101001165807247,9.38398734433576e-05,2.27566215471597e-05,0.00010820223542396,6.66914202156477e-05,"catherine_c_masto.jpg"
"65",0.998796463012695,0.00021647204994224,0.000783377268817276,4.25628513767151e-06,1.83657448360464e-05,0.000141960437758826,3.9107271732064e-05,"charles_e_summers_jr.jpg"
"66",0.968841195106506,0.00101937633007765,0.0299605745822191,9.02940792002482e-06,6.02563568463665e-06,0.000113374364445917,5.04966956214048e-05,"charles_melancon.jpg"
"67",0.363015562295914,0.000467438832856715,0.63641744852066,1.49840907397447e-05,6.94079835739103e-06,3.58762990799733e-05,4.1737705032574e-05,"charlie_a_matulka.jpg"
"68",0.608577966690063,0.224661007523537,0.157062828540802,0.00469809491187334,0.00238248682580888,0.00200684438459575,0.000610880262684077,"chele_chiavacci_farley.jpg"
"69",0.99931800365448,0.000264951377175748,0.000354573538061231,6.788814630454e-07,1.08409255972219e-06,5.16937907377724e-05,9.10129165276885e-06,"chellie_pingree.jpg"
"70",0.999429762363434,0.000298967031994835,0.000223318405915052,4.06133995056734e-06,6.42628174318816e-06,3.01352538372157e-05,7.40675523047685e-06,"chris_coons.jpg"
"71",0.947016417980194,0.0199831984937191,0.0113196270540357,0.000192854800843634,0.000145821511978284,0.0181947275996208,0.00314742187038064,"chris_janicek.jpg"
"72",0.993400752544403,0.00168490968644619,0.00469558592885733,3.43213505402673e-05,5.23859625900513e-06,0.000123933379654773,5.53173922526184e-05,"chris_murphy.jpg"
"73",0.999039828777313,0.000222450922592543,0.000617125711869448,8.22998117655516e-06,5.62128434467013e-06,8.83186949067749e-05,1.82598141691415e-05,"chris_rothfuss.jpg"
"74",0.995899498462677,0.000109353321022354,0.00396588025614619,5.13177019456634e-06,1.28957699416787e-05,5.02873217556044e-06,2.1437492705445e-06,"chris_van_hollen.jpg"
"75",0.990788757801056,0.00657184654846787,0.00251849764026701,3.75304298358969e-05,1.1426915989432e-05,6.12071962677874e-05,1.07592431959347e-05,"chris_vance.jpg"
"76",0.350973129272461,0.625477313995361,0.00813791714608669,0.00288094719871879,0.000975926173850894,0.00564558058977127,0.00590915558859706,"christine_odonnell.jpg"
"77",0.988486647605896,0.00582088017836213,0.00547657161951065,6.58197750453837e-05,1.71101874002488e-05,9.37658041948453e-05,3.91824214602821e-05,"christopher_dodd.jpg"
"78",0.999474465847015,0.000119863732834347,0.000402009900426492,8.93285800884769e-07,1.63059340252403e-07,1.96076666725276e-06,6.3918361092874e-07,"christopher_reed.jpg"
"79",0.958741426467896,0.00440140534192324,0.0351548083126545,4.28967905463651e-05,2.28644548769807e-05,0.00113849493209273,0.000498120207339525,"chuck_grassley.jpg"
"80",0.880842447280884,0.00685003772377968,0.110493190586567,5.9864640206797e-05,0.000112891510070767,0.00130557653028518,0.000336019205860794,"chuck_hagel.jpg"
"81",0.874623894691467,0.0264414213597775,0.0980117693543434,0.000286814785795286,0.000326436944305897,0.000158853115863167,0.000150774081703275,"chuck_robb.jpeg"
"82",0.981908440589905,0.000296301179332659,0.0177241116762161,1.96459204744315e-05,4.87808074467466e-06,3.55593147105537e-05,1.09899892777321e-05,"chuck_schumer.jpg"
"83",0.999527335166931,0.000152198073919863,0.000299383391393349,4.17615456171916e-06,1.06968343516201e-06,1.35694963319111e-05,2.29179045163619e-06,"cindy_hyde-smith.jpg"
"84",0.999239683151245,0.000247846357524395,0.000470746424980462,6.12787653153646e-06,2.11474252864718e-06,2.63342790276511e-05,7.16299064151826e-06,"claire_mccaskill.jpg"
"85",0.999916434288025,1.25193837448023e-05,6.3474231865257e-05,2.92617698960385e-07,8.42712779558497e-07,5.30805164089543e-06,1.06314837466925e-06,"conrad_burns.jpg"
"86",0.99950635433197,0.000343469087965786,0.000116220959171187,1.1117344001832e-05,6.41781980448286e-06,1.30376774905017e-05,3.50607615473564e-06,"corey_stewart.jpg"
"87",0.988423645496368,0.00158498890232295,0.0095529705286026,7.18947339919396e-05,2.3714925191598e-05,0.000222499031224288,0.000120295546366833,"corky_messner.jpg"
"88",0.0188408344984055,0.116730280220509,0.00529415439814329,0.00158658483996987,0.854837536811829,0.000858859915751964,0.00185168720781803,"cory_booker.jpg"
"89",0.969046473503113,0.0112121412530541,0.0195043757557869,0.00015392733621411,1.03835327536217e-05,4.83787880511954e-05,2.43190534092719e-05,"cory_gardner.jpeg"
"90",0.987071812152863,0.00698956754058599,0.00579497497528791,4.85247765027452e-05,6.57018426863942e-06,6.51731097605079e-05,2.34518956858665e-05,"cory_gardner.jpg"
"91",0.243060752749443,0.47237753868103,0.0118668638169765,0.00752240186557174,0.00897713471204042,0.102771013975143,0.153424292802811,"craig_l_thomas.jpg"
"92",0.965186178684235,0.0221853442490101,0.0120771676301956,0.000315995217533782,1.31743554447894e-05,0.000139680021675304,8.2461214333307e-05,"cynthia_dill.jpg"
"93",0.999716222286224,6.84983533574268e-05,0.000200317983399145,1.90404432487412e-06,2.70822988568398e-06,7.9318015195895e-06,2.41677298618015e-06,"cynthia_lummis.jpg"
"94",0.641057372093201,0.00384842627681792,0.354776680469513,8.62276574480347e-05,3.56132404704113e-05,7.99649787950329e-05,0.000115712195110973,"dale_groutage.jpg"
"95",0.998619198799133,0.0001444860099582,0.00122432212810963,1.69676536643237e-06,2.07180789857375e-07,7.9603760241298e-06,2.01615989681159e-06,"dan_ahlers.jpg"
"96",0.506105482578278,0.36800754070282,0.114782102406025,0.00279884319752455,0.00312890973873436,0.00234128488227725,0.00283585814759135,"dan_bongino.jpg"
"97",0.999070107936859,0.000126690662000328,0.000767447054386139,4.98515555591439e-06,5.77808862090023e-07,2.47191437665606e-05,5.52469373360509e-06,"dan_carter.jpg"
"98",0.890052318572998,0.00171173259150237,0.107646360993385,4.03058620577212e-05,2.61355889961123e-05,0.000418666255427524,0.000104339465906378,"dan_coats.jpg"
"99",0.999836564064026,5.27167831023689e-05,0.000100383105746005,1.85250451067986e-06,2.22099220081873e-06,4.3520012695808e-06,1.90124683285831e-06,"dan_sullivan.jpg"
"100",0.994992554187775,0.00274014263413846,0.00197787117213011,4.79624068248086e-05,4.70693739771377e-05,0.000157266724272631,3.71845126210246e-05,"daniel_gade.jpg"
"101",0.0430226437747478,0.00563280982896686,0.950279772281647,0.00100627879146487,3.47973436873872e-05,1.30335947687854e-05,1.06408151623327e-05,"daniel_mongiardo.jpg"
"102",1.99259275746044e-07,6.93042420607526e-06,1.18801688131498e-06,8.94084587343968e-06,0.99998140335083,2.40323487332716e-07,1.12681016162242e-06,"darryl_glenn.jpg"
