"","Feminine","Masculine","jpg"
"79",0.00052805442828685,0.999471962451935,"chuck_grassley.jpg"
"80",2.88158134935657e-05,0.999971151351929,"chuck_hagel.jpg"
"81",6.50594956823625e-05,0.999934911727905,"chuck_robb.jpeg"
"82",4.93123880005442e-05,0.999950647354126,"chuck_schumer.jpg"
"83",0.999954700469971,4.53395477961749e-05,"cindy_hyde-smith.jpg"
"84",0.999688982963562,0.00031107579707168,"claire_mccaskill.jpg"
"85",6.39107429378782e-06,0.999993562698364,"conrad_burns.jpg"
"86",8.31576107884757e-06,0.999991655349731,"corey_stewart.jpg"
"87",2.34824001381639e-05,0.999976515769958,"corky_messner.jpg"
"88",2.37446529354202e-05,0.999976277351379,"cory_booker.jpg"
"89",3.5018497328565e-06,0.999996542930603,"cory_gardner.jpeg"
